Symbol,Quantity,Price,Action,Description,TradeDate,SettledDate,Interest,Amount,Commission,Fee,CUSIP,RecordType
AMD,40,140.00,BUY,BOUGHT ADV MICRO DEVICES,2024-01-08,2024-01-10,0,-5600.00,0,0,,Trade
AMD,40,165.00,SELL,SOLD ADV MICRO DEVICES,2024-01-19,2024-01-23,0,6600.00,0,0,,Trade
MU,60,85.00,BUY,BOUGHT MICRON TECH,2024-01-22,2024-01-24,0,-5100.00,0,0,,Trade
MU,60,92.00,SELL,SOLD MICRON TECH,2024-02-02,2024-02-06,0,5520.00,0,0,,Trade
ARM,50,110.00,BUY,BOUGHT ARM HOLDINGS,2024-02-12,2024-02-14,0,-5500.00,0,0,,Trade
ARM,50,150.00,SELL,SOLD ARM HOLDINGS,2024-02-20,2024-02-22,0,7500.00,0,0,,Trade
MRVL,70,72.00,BUY,BOUGHT MARVELL TECH,2024-02-26,2024-02-28,0,-5040.00,0,0,,Trade
AMAT,25,205.00,BUY,BOUGHT APPLIED MATERIALS,2024-03-04,2024-03-06,0,-5125.00,0,0,,Trade
MRVL,70,78.00,SELL,SOLD MARVELL TECH,2024-03-05,2024-03-07,0,5460.00,0,0,,Trade
AMAT,25,218.00,SELL,SOLD APPLIED MATERIALS,2024-03-08,2024-03-12,0,5450.00,0,0,,Trade
AVGO,4,1300.00,BUY,BOUGHT BROADCOM INC,2024-03-11,2024-03-13,0,-5200.00,0,0,,Trade
AVGO,4,1380.00,SELL,SOLD BROADCOM INC,2024-03-15,2024-03-19,0,5520.00,0,0,,Trade
PLTR,200,24.00,BUY,BOUGHT PALANTIR TECH,2024-03-20,2024-03-22,0,-4800.00,0,0,,Trade
PLTR,200,25.00,SELL,SOLD PALANTIR TECH,2024-03-27,2024-03-29,0,5000.00,0,0,,Trade
TSM,40,135.00,BUY,BOUGHT TAIWAN SEMI ADR,2024-04-02,2024-04-04,0,-5400.00,0,0,,Trade
TSM,40,145.00,SELL,SOLD TAIWAN SEMI ADR,2024-04-10,2024-04-12,0,5800.00,0,0,,Trade
NVDA,60,86.00,BUY,BOUGHT NVIDIA CORP,2024-04-15,2024-04-17,0,-5160.00,0,0,,Trade
NVDA,60,82.00,SELL,SOLD NVIDIA CORP,2024-04-22,2024-04-24,0,4920.00,0,0,,Trade
NVDA,50,92.00,BUY,BOUGHT NVIDIA CORP,2024-05-02,2024-05-06,0,-4600.00,0,0,,Trade
NVDA,50,95.00,SELL,SOLD NVIDIA CORP,2024-05-20,2024-05-22,0,4750.00,0,0,,Trade
NVDA,120,120.00,BUY,BOUGHT NVIDIA CORP,2024-06-10,2024-06-12,0,-14400.00,0,0,,Trade
MRVL,70,70.00,BUY,BOUGHT MARVELL TECH,2024-06-12,2024-06-14,0,-4900.00,0,0,,Trade
AMD,30,160.00,BUY,BOUGHT ADV MICRO DEVICES,2024-06-18,2024-06-20,0,-4800.00,0,0,,Trade
